name,gender,organization,date,location,type_of_death
Rafael Murúa Manríquez,Male,Radiokoshana FM,"January 20, 2019",Mexico,Murder
Rafed Mahmoud Said al-Anbagy,Male,Diyala TV and Radio,"August 27, 2005",Iraq,Murder
Raffaele Ciriello,Male,Freelance,"March 13, 2002",Israel and the Occupied Palestinian Territory,Crossfire
Rafiq Tagi,Male,Freelance,"November 23, 2011",Azerbaijan,Murder
Rahmatullah Nikzad,Male,Freelance,"December 21, 2020",Afghanistan,Murder
Rajdev Ranjan,Male,Hindustan,"May 13, 2016",India,Murder
Rajesh Mishra,Male,Media Raj,"March 1, 2012",India,Murder
Rajesh Mishra,Male,Dainik Jagran,"October 21, 2017",India,Murder
Rajesh Verma,Male,IBN 7,"September 7, 2013",India,Dangerous Assignment
Rakesh Sharma,Male,Aaj,"August 23, 2013",India,Murder
Rakesh Singh,Male,Rashtriya Swaroop,"November 28, 2020",India,Murder
Ralikonelo Joki,Male,Ts’enolo FM,"May 14, 2023",Lesotho,Murder
Ram Chander Chaterpatti,Male,Poora Sach,"November 21, 2002",India,Murder
Ram Singh Biling,Male,"Azdi Awaz, Daily Ajit","January 3, 1992",India,Dangerous Assignment
Raman Kashyap,Male,Sadhna Plus TV,"October 3-4, 2021",India,Dangerous Assignment
Rami al-Sayed,Male,Freelance,"February 21, 2012",Syria,Crossfire
Rami Asmi,Male,Orient News,"December 8, 2014",Syria,Crossfire
Rami Rayan,Male,Palestine Network for Press and Media,"July 30, 2014",Israel and the Occupied Palestinian Territory,Crossfire
Ramiz Ahmadi,Male,TOLO News,"September 5, 2018",Afghanistan,Dangerous Assignment
Ramzan Khadzhiev,Male,Russian Public TV (ORT),"August 11, 1996",Russia,Murder
Ramzan Mezhidov,Male,TV Tsentr,"October 29, 1999",Russia,Crossfire
Rasheed Bakr,Male,"Al-Mohrar Media Network,Syria 1 News Agency","October 26, 2020",Syria,Crossfire
Rashid Hamid Wali,Male,Al-Jazeera,"May 21, 2004",Iraq,Crossfire
Rashmi Mohamed,Male,Sirasa TV,"October 6, 2008",Sri Lanka,Dangerous Assignment
Razzaq Gul,Male,Express News TV,"May 19, 2012",Pakistan,Murder
Rehmatullah Abid,Male,"Dunya News TV, Intikhaab","November 18, 2012",Pakistan,Murder
Reinaldo Coutinho da Silva,Male,Cachoeiras Jornal,"August 29, 1995",Brazil,Murder
Rémi Ochlik,Male,Freelance,"February 22, 2012",Syria,Murder
Renante Cortes,Male,dyRB Radio,"July 22, 2021",Philippines,Murder
Renato Blanco,Male,Power 102.1 DYRY RFM Mabinay,"September 18, 2022",Philippines,Murder
Rex Cornelio Pepino,Male,Original Energy 93.7 FM,"May 20, 2020",Philippines,Murder
Rey Bancayrin,Male,Radio DXLL,"March 30, 1998",Philippines,Murder
Rey Merisco,Male,Periodico Ini,"November 23, 2009",Philippines,Murder
Reynaldo Momay,Male,Midland Review,"November 23, 2009",Philippines,Murder
Riad al-Saray,Male,Al-Iraqiya,"September 7, 2010",Iraq,Murder
Ricardo Alcides Ávila,Male,Metro TV,"May 29, 2022",Honduras,
Ricardo de Mello,Male,Imparcial Fax,"January 18, 1995",Angola,Murder
Ricardo Domínguez López,Male,InfoGuaymas,"July 22, 2021",Mexico,Murder
Ricardo Gangeme,Male,El Informador Chubutense,"May 13, 1999",Argentina,Murder
Ricardo Ortega,Male,Antena 3,"March 7, 2004",Haiti,Dangerous Assignment
Richard Wild,Male,freelance,"July 5, 2003",Iraq,Murder
Rico Ramirez,Male,DXSF Radio,"August 20, 2003",Philippines,Murder
Ridwan Salamun,Male,Sun TV,"August 21, 2010",Indonesia,Murder
Riyad Muhammad Ali,Male,Talafar al-Yawm,"July 30, 2006",Iraq,Murder
Rob Hiaasen,Male,Capital Gazette,"June 28, 2018",USA,Murder
Robenson Laraque,Male,Tele Contact,"April 4, 2005",Haiti,Dangerous Assignment
Robert Stevens,Male,The Sun,"October 5, 2001",USA,Murder
Roberto Fraile,Male,93 Metros,"April 26 - 27, 2021",Burkina Faso,Murder
Roberto Marcos García,Male,Testimonio and Alarma,"November 21, 2006",Mexico,Murder
Roberto Martínez,Male,Prensa Libre,"April 27, 2000",Guatemala,Dangerous Assignment
Roberto Toledo Barrera,Male,Monitor Michoacán,"January 31, 2022",Mexico,
Robson Giorno,Male,Jornal O Maricá,"May 25, 2019",Brazil,
Roddy Scott,Male,Frontline,"September 26, 2002",Russia,Crossfire
Rodolfo Julio Torres,Male,Emisora Fuentes,"October 21, 1999",Colombia,Murder
Rodolfo Rincón Taracena,Male,Tabasco Hoy,"January 20, 2007",Mexico,Murder
Rodrigo Neto,Male,Rádio Vanguarda and Vale do Aço,"March 8, 2013",Brazil,Murder
"Rogelio ""Roger"" Mariano",Male,Radyo Natin-Aksyon Radyo,"July 31, 2004",Philippines,Murder
Rogelio Barragán Pérez,Male,Guerrero Al Instante,"July 30, 2019",Mexico,
Rohat Aktaş,Male,Azadiya Welat,"January 30 to February 24, 2016",Turkey,Unknown
Rohit Biswal,Male,Dharitri,"February 5, 2022",India,Dangerous Assignment
Roland Ureta,Male,Radio DYKR,"January 3, 2001",Philippines,Murder
"Rolando ""Dodong"" Morales",Male,DXMD,"July 3, 2005",Philippines,Murder
Romário Barros,Male,Lei Seca Maricá,"June 18, 2019",Brazil,
Romeo (or Romy) Binungcal,Male,Remate and Bulgar,"September 29, 2004",Philippines,Murder
Romeo Jimmy Cabillo,Male,Midland Review,"November 23, 2009",Philippines,Murder
Romeo Lagaspi,Male,Voice of Zambales,"January 11, 1993",Philippines,Murder
Romeo Olea,Male,DWEB,"June 13, 2011",Philippines,Murder
Ronnie Perante,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder
Ronnie Villamor,Male,Dos Kantos Balita,"November 14, 2020",Philippines,
Roohollah Zam,Male,Amad News,"December 12, 2020",Iran,Murder
Rory Peck,Male,ARD Television Company,"October 3, 1993",Russia,Dangerous Assignment
Rosell Morales,Male,News Focus,"November 23, 2009",Philippines,Murder
Roshdi Sarraj,Male,Ain Media,"October 22, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Rowell Endrinal,Male,DZRC,"February 11, 2004",Philippines,Murder
Rubello Bataluna,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder
Rubén Espinosa Becerril,Male,"Proceso, AVC Noticias, Cuartoscuro","July 31, 2015",Mexico,Murder
Rubén Pat Cauich,Male,Semanario Playa News,"July 24, 2018",Mexico,
Rupert Hamer,Male,Sunday Mirror,"January 10, 2010",Afghanistan,Crossfire
Ruperto Armenta Gerardo,Male,El Regional,"February 5, 1995",Mexico,Murder
S. Gangadhara Raju,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment
S. Krishna,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment
Saad Ahmed,Male,Hawar News Agency (ANHA),"October 13, 2019",Syria,Crossfire
Saad Bakhtaoui,Male,El-Minbar,"September 10, 1993",Algeria,Murder
Sabah al-Bazi,Male,Al-Arabiya,"March 29, 2011",Iraq,Dangerous Assignment
Sabawoon Kakar,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder
Saber al-Janani,Male,NHK,"June 15, 2022",Yemen,
Sadrul Alam Nipul,Male,Dainik Mathabhanga,"May 21, 2014",Bangladesh,Murder
Saed Mahdi Shlash,Male,Rayat al-Arab,"October 26, 2006",Iraq,Murder
Saeed al-Taweel,Male,Al-Khamsa News,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Safa al-Din Abdel Hamid,Male,Al-Mosuliya,"September 8, 2010",Iraq,Murder
Safa Isma'il Enad,Male,freelance,"September 13, 2006",Iraq,Murder
Safaa Ghali,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment
Safir Nader,Male,Qulan TV,"February 1, 2004",Iraq,Crossfire
Sai Reddy,Male,Deshbandhu,"December 6, 2013",India,Murder
Sai Win Aung (A Sai K),Male,Federal News Journal,"December 25, 2021",Myanmar,Crossfire
Saïd Brahimi,Male,Algerian State Television,"September 9, 1995",Algeria,Murder
Said Mekbel,Male,Le Matin,"December 4, 1994",Algeria,Murder
Said Tahlil Ahmed,Male,HornAfrik,"February 2, 2009",Somalia,Murder
Saïd Tazrout,Male,Le Matin,"September 3, 1995",Algeria,Murder
Saidan Shafi,Male,Doordarshan TV,"March 16, 1997",India,Murder
Saidmurod Yerov,Male,Farkhang,January 1993,Tajikistan,Murder
Saif Laith Yousuf,Male,ABC News,"May 17, 2007",Iraq,Murder
Saif Talal,Male,Al-Sharqiya,"January 12, 2016",Iraq,Murder
Saif ur Rehman,Male,Samaa TV,"January 10, 2013",Pakistan,Dangerous Assignment
Saiful Alam Mukul,Male,Daily Runner,"August 30, 1998",Bangladesh,Murder
Sajid Tanoli,Male,Shumal,"January 29, 2004",Pakistan,Murder
Salah al-Din Hassan,Male,Shaab Masr,"June 29, 2013",Egypt,Dangerous Assignment
Saleem Shahzad,Male,Asia Times Online,"May 29 or 30, 2011",Pakistan,Murder
Saleem Talash,Male,Mashal TV,"April 30, 2018",Afghanistan,Murder
Saleh Ayyad Hafyana,Male,Fassato News Agency,"November 18, 2013",Libya,Dangerous Assignment
Saleh Ibrahim,Male,Associated Press Television News,"April 23, 2005",Iraq,Crossfire
Salem Khalil,Male,Orient News,"December 8, 2014",Syria,Crossfire
Salih Saif Aldin,Male,The Washington Post,"October 14, 2007",Iraq,Murder
Salko Hondo,Male,Oslobodjenje,"July 1, 1992",Bosnia,Crossfire
Salvador Adame Pardo,Male,6TV,"May 18-June 14, 2017",Mexico,Murder
Salvador Medina Velázquez,Male,FM Ñemity,"January 5, 2001",Paraguay,Murder
Sam Nimfa-Jan,Male,Details,"May 27, 1999",Nigeria,Dangerous Assignment
Saman Abdullah Izzedine,Male,Kirkuk TV,"April 15, 2005",Iraq,Murder
Sameh al-Aryan,Male,Al-Aqsa TV,"July 30, 2014",Israel and the Occupied Palestinian Territory,Crossfire
Samer Mohammed Aboud,Male,"Free Deir al-Zour Radio, Development Interaction Network",October 2015 - June 2016,Syria,Murder
Sami Abu Amin,Male,Al-Ikhbariya,"June 27, 2012",Syria,Crossfire
Sami Jawdat Rabah,Male,Syrian Observatory for Human Rights,October 2015 - June 2016,Syria,Murder
Samim Faramarz,Male,TOLO News,"September 5, 2018",Afghanistan,Dangerous Assignment
Samir Qassir,Male,Al-Nahar,"June 2, 2005",Lebanon,Murder
Samson Boyi,Male,The Scope,"November 5, 1999",Nigeria,Crossfire
Samuel Romã,Male,Radio Conquista FM,"April 20, 2004",Brazil,Murder
Samuel Wazizi,Male,Chillen Muzik TV,"August 17, 2019",Cameroon,Unknown
Sandeep Sharma,Male,News World,"March 26, 2018",India,Murder
Sander Thoenes,Male,Freelancer,"September 21, 1999",East Timor,Murder
Santiago Barroso Alfaro,Male,"Buenos Días San Luis,Red 653","March 15, 2019",Mexico,
Santiago Ilídio Andrade,Male,Bandeirantes,"February 10, 2014",Brazil,Dangerous Assignment
Santos Gatchalian,Male,DXGO,"November 23, 2009",Philippines,Murder
Saoman Conteh,Male,New Tablet,"May 8, 2000",Sierra Leone,Dangerous Assignment
Saqib Khan,Male,Ummat,"November 22, 2012",Pakistan,Dangerous Assignment
Sardasht Osman,Male,Freelance,"May 5, 2010",Iraq,Murder
Sari Mansour,Male,Quds News Network,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Sarmad Hamdi Shaker,Male,Baghdad TV,"June 27, 2007",Iraq,Murder
Satoru Someya,Male,freelance,"September 6, 2003",Japan,Murder
Sattar Beheshti,Male,Freelance,"November 3, 2012",Iran,Dangerous Assignment
Saúl Tijerina Rentería,Male,"La Policiaca,Noticias en la Web,","June 22, 2021",Mexico,
Sayed Mehdi Husaini,Male,Jomhor News Agency,"December 28, 2017",Afghanistan,Dangerous Assignment
Sayeed Khuda Dad Ahamdi,Male,Afghan Voice Agency,"December 28, 2017",Afghanistan,Dangerous Assignment
Sayfettin Tepe,Male,Yeni Politika,"August 29, 1995",Turkey,Murder
Sayomchai Vijitwittayapong,Male,Matichon,"January 10, 1998",Thailand,Murder
Selvarajah Rajeewarnam,Male,Uthayan,"April 29, 2007",Sri Lanka,Murder
Semko Karim Mohyideen,Male,freelance,"February 1, 2004",Iraq,Crossfire
Serge Maheshe,Male,Radio Okapi,"June 13, 2007",Democratic Republic of the Congo,Murder
Sergei Krasilnikov,Male,Ostankino Television Company,"October 3, 1993",Russia,Dangerous Assignment
Serhiy Nikolayev,Male,Segodnya,"February 28, 2015",Ukraine,Crossfire
Shafiq Amiri,Male,Khurshid TV,"May 30, 2020",Afghanistan,Murder
Shafiullah Khan,Male,The News,"June 17, 2011",Pakistan,Dangerous Assignment
Shah Marai,Male,Agence France-Presse,"April 30, 2018",Afghanistan,Murder
Shahid Soomro,Male,Kawish,"October 20, 2002",Pakistan,Murder
Shahid Zehri,Male,Metro 1 News,"October 10, 2021",Pakistan,Murder
Shahir al-Muaddamani,Male,Local Council of Deraya City Media Office,"August 16, 2013",Syria,Crossfire
Shamil Gigayev,Male,Nokh Cho TV,"October 29, 1999",Russia,Crossfire
Shamkhan Kagirov,Male,Rossiskaya Gazeta and Vozrozheniye,"December 13, 1995",Russia,Crossfire
Shamsur Rahman,Male,Janakantha,"July 16, 2000",Bangladesh,Murder
Shan Dahar,Male,Abb Takk Television,"January 1, 2014",Pakistan,Murder
Shantanu Bhowmik,Male,Dinraat,"September 20, 2017",India,Dangerous Assignment
Shao Yunhuan,Male,Xinhua News Agency,"May 8, 1999",Yugoslavia,Crossfire
Shashikant Warishe,Male,Mahanagari Times,"February 7, 2023",India,Murder
Shehab Mohammad al-Hiti,Male,Baghdad al-Youm,"October 28, 2007",Iraq,Murder
Shehzad Ahmed,Male,Aaj News,"August 8, 2016",Pakistan,Dangerous Assignment
Sheikh Belaluddin,Male,Sangram,"February 11, 2005",Bangladesh,Murder
Sheikh Nur Mohamed Abkey,Male,Radio Mogadishu,"May 4, 2010",Somalia,Murder
Shihab al-Tamimi,Male,Iraqi Journalists Syndicate,"February 27, 2008",Iraq,Murder
Shinsuke Hashida,Male,freelance,"May 27, 2004",Iraq,Crossfire
Shirindzhon Amirdzhonov,Male,Tajikistan Radio,"May 7, 1992",Tajikistan,Dangerous Assignment
Shubham Mani Tripathi,Male,Kampu Mail,"June 19, 2020",India,Murder
Shujaat Bukhari,Male,Rising Kashmir,"June 14, 2018",India,Murder
Shukur Hossain,Male,Anirban,"July 5, 2002",Bangladesh,Murder
Simao Roberto,Male,Journal de Angola,"June 5, 1998",Angola,Murder
Simon Cumbers,Male,BBC,"June 6, 2004",Saudi Arabia,Murder
Simone Camilli,Male,The Associated Press,"August 13, 2014",Israel and the Occupied Palestinian Territory,Crossfire
Siraj Abishov,Male,AzTV,"June 4, 2021",Azerbaijan,Crossfire
Siraj Uddin,Male,The Nation,"February 29, 2008",Pakistan,Dangerous Assignment
Sisay Fida,Male,Oromia Broadcasting Network,"May 9, 2021",Ethiopia,Murder
Slavko Curuvija,Male,"Dnevni Telegraf, Evropljanin","April 11, 1999",Yugoslavia,Murder
Smail Sbaghdi,Male,Algerian Press Service,"September 25, 1994",Algeria,Murder
Smail Yefsah,Male,Algerian State Television,"October 18, 1993",Algeria,Murder
So'oud Muzahim al-Shoumari,Male,Al-Baghdadia,"April 4, 2006",Iraq,Murder
Soe Moe Tun,Male,Daily Eleven,"December 13, 2016",Myanmar,Murder
Soe Naing,Male,Freelance,"December 10 to 14, 2021",Myanmar,Murder
Sohail Khan,Male,K2 Times,"October 16, 2018",Pakistan,Murder
Sokratis Giolias,Male,"Thema 98.9, Troktiko","July 19, 2010",Greece,Murder
Soleil Balanga,Male,Radio Monkoto Soso Aleli,"April 16, 2015",Democratic Republic of the Congo,Murder
Sonny Alcantara,Male,"""Quo Vadis San Pablo"" and Kokus","August 22, 2002",Philippines,Murder
Soran Mama Hama,Male,Livin,"July 21, 2008",Iraq,Murder
Stan Storimans,Male,RTL Nieuws,"August 12, 2008",Georgia,Crossfire
Stanislas Ocloo,Male,Télévision Togolaise,"January 9, 2010",Angola,Dangerous Assignment
Stephan Villeneuve,Male,#5BisProduction,"June 19, 2017",Iraq,Crossfire
Stephane Charbonnier (Charb),Male,Charlie Hebdo,"January 7, 2015",France,Murder
Steven Sotloff,Male,Freelance,"August or September, 2014",Syria,Murder
Steven Vincent,Male,freelance,"August 3, 2005",Iraq,Murder
Subash Chandraboas,Male,Nilam,"April 16, 2007",Sri Lanka,Murder
Subhash Kumar Mahto,Male,City News,"May 20, 2022",India,
Subramaniyam Sugitharajah,Male,Sudar Oli,"January 24, 2006",Sri Lanka,Murder
Sudad Faris,Male,Salaheddin TV,"July 7, 2017",Iraq,Crossfire
Sudip Dutta Bhaumik,Male,Syandan Patrika,"November 21, 2017",India,Murder
Sufi Mohammad Khan,Male,Ummat,"May 2, 2000",Pakistan,Murder
Suhaib Adnan,Male,Al-Baghdadia TV,"March 10, 2009",Iraq,Crossfire
Suhaib al-Heeti,Male,Asiasat,"May 30, 2017",Iraq,Dangerous Assignment
Suhail Mahmoud al-Ali,Male,Dunya TV,"January 4, 2013",Syria,Murder
Sulabh Srivastava,Male,"ABP News,ABP Ganga","June 13, 2021",India,Murder
Suleiman Abdul-Rahim al-Ashi,Male,Palestine,"May 13, 2007",Israel and the Occupied Palestinian Territory,Murder
Sultan Mahmoud Khairkhwah,Male,Zhman TV,"March 15, 2019",Afghanistan,
Sultan Mohammed Munadi,Male,The New York Times,"September 9, 2009",Afghanistan,Dangerous Assignment
Sunday Gyang Bwede,Male,The Light Bearer,"April 24, 2010",Nigeria,Murder
Supian Ependiyev,Male,Groznensky Rabochy,"October 27, 1999",Russia,Crossfire
Suresh Linbiyo,Male,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire
Sylvain Gagnetau Lago,Male,Radio Yopougon,"May 8, 2011",Ivory Coast,Murder
T. Tharmalingam,Male,Voice of Tigers,"November 27, 2007",Sri Lanka,Crossfire
Tabarali Saidaliev,Male,Ba Pesh,"October 21, 1993",Tajikistan,Murder
Taha Shawkat Al-Halou,Male,Freelance,"August 27, 2016",Syria,Crossfire
Tahar Djaout,Male,Ruptures,"June 2, 1993",Algeria,Murder
Tahir Awan,Male,freelance,"January 4, 2009",Pakistan,Dangerous Assignment
Tahrir Kadhim Jawad,Male,freelance,"October 4, 2010",Iraq,Murder
Taimoor Khan,Male,Samaa TV,"February 12, 2017",Pakistan,Dangerous Assignment
Takieddin al-Hudhaifi,Male,Al-Akhbariya,"May 26, 2017",Yemen,Crossfire
Tamer Abdel Raouf,Male,Al-Ahram,"August 19, 2013",Egypt,Dangerous Assignment
Tamer al-Awam,Male,Freelance,"September 9, 2012",Syria,Crossfire
Tara Singh Hayer,Male,Indo-Canadian Times,"November 18, 1998",Canada,Murder
Taras Protsyuk,Male,Reuters,"April 8, 2003",Iraq,Crossfire
Tareq Ayyoub,Male,Al-Jazeera,"April 8, 2003",Iraq,Crossfire
Tarun Kumar Acharya,Male,"Kanak TV, Sambad","May 27, 2014",India,Murder
Tasar Omer,Male,Freelance,"June 27, 1993",Bosnia,Dangerous Assignment
Tavakkal Faizulloev,Male,Subhi Yovon,"November 17, 1992",Tajikistan,Murder
Tayeb Bouterfif,Male,Algerian Radio,"October 16, 1994",Algeria,Murder
Tayson Lartigue,Male,Tijén Journalis,"September 11, 2022",Haiti,Murder
Telésforo Santiago Enríquez,Male,El Cafetal,"May 2, 2019",Mexico,
Telman (Abdulla) Alishayev,Male,TV-Chirkei,"September 2, 2008",Russia,Murder
Terry Lloyd,Male,ITV News,"March 22, 2003",Iraq,Crossfire
Thaer Ahmad Jaber,Male,Baghdad TV,"April 5, 2007",Iraq,Murder
Thaer al-Ajlani,Male,Sham FM; al-Watan,"July 27, 2015",Syria,Crossfire
Thaer Al-Ali,Male,Rai al-Nas,"April 26, 2015",Iraq,Murder
Thaker al-Shouwili,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder
Thamsanqa Junior Bonase,Male,Dumelang News,"May 22, 2019",South Africa,
Tharcisse Rubwiriza,Male,Orinfor,"April 8 or 9, 1994",Rwanda,Murder
Thun Bun Ly,Male,Odom K'tek Khmer,"May 18, 1996",Cambodia,Murder
Tihomir Tunukovic,Male,BBC TV,"November 1, 1992",Bosnia,Crossfire
Tim Hetherington,Male,Freelance,"April 20, 2011",Libya,Crossfire
Tim Lopes,Male,TV Globo,"June 3, 2002",Brazil,Murder
Tito Alberto Palma,Male,Radio Mayor Otaño and Radio Chaco Boreal,"August 22, 2007",Paraguay,Murder
Toofan Omar,Male,Paktia Ghag Radio,"August 8, 2021",Afghanistan,
Tou Chhom Mongkol,Male,Antarakum,"June 11, 1994",Cambodia,Murder
Tunde Oladepo,Male,The Guardian,"February 26, 1998",Nigeria,Murder
Tura Kobilov,Male,Bairaki Dusti,"June, 1992",Tajikistan,Murder
Turad Mohamed al-Zahouri,Male,Freelance,"February 20, 2014",Syria,Crossfire
U Hla Han,Male,Kyemon,"September 27, 1999",Myanmar,Dangerous Assignment
U Tha Win,Male,Kyemon,"October 2, 1999",Myanmar,Dangerous Assignment
Ueliton Bayer Brizon,Male,Jornal de Rondonia,"January 16, 2018",Brazil,
Ugur Mumcu,Male,Cumhuriyet,"January 24, 1993",Turkey,Murder
Ulf Strömberg,Male,TV4,"November 26, 2001",Afghanistan,Murder
Umesh Rajput,Male,Nai Dunia,"January 23, 2011",India,Murder
Vadim Alferyev,Male,Segodnyashnyaya Gazeta,"December 27, 1995",Russia,Murder
Vadym Komarov,Male,Dzvin,"June 20, 2019",Ukraine,Murder
Vagif Kochetkov,Male,Trud and Tulsky Molodoi Kommunar,"January 8, 2006",Russia,Murder
Valentín Valdés Espinosa,Male,Zócalo de Saltillo,"January 8, 2010",Mexico,Murder
Valério Luiz de Oliveira,Male,Rádio Jornal,"July 5, 2012",Brazil,Murder
Valery Ivanov,Male,Tolyatinskoye Obozreniye,"April 29, 2002",Russia,Murder
Vedat Erdemci,Male,"Hawar News Agency (ANHA),Ronahi TV","October 11, 2019",Syria,Crossfire
Veeraboina Yadagiri,Male,Andhra Prabha,"February 21, 2004",India,Murder
Vénant Ntawucikayenda,Male,TV Rwanda,"May 10, 1994",Rwanda,Murder
Viatcheslav Rudnev,Male,Freelancer,"February 17, 1995",Russia,Murder
Víctor Hernández Martínez,Male,Como,"July 26, 1997",Mexico,Murder
Victor Hugo López Escobar,Male,Radio Progreso,"September 12, 1994",Guatemala,Murder
Victor Nuñez,Male,UNTV,"November 23, 2009",Philippines,Murder
Vijay Pratap Singh,Male,Indian Express,"July 20, 2010",India,Dangerous Assignment
Vikas Ranjan,Male,Hindustan,"November 25, 2008",India,Murder
Viktor Dedov,Male,Sigma TV,"March 11, 2022",Ukraine,Dangerous Assignment
Viktor Mikhailov,Male,Zabaikalsky Rabochy,"May 12, 1996",Russia,Murder
Viktor Nikulin,Male,Russian Public TV (ORT),"March 28, 1996",Tajikistan,Murder
Viktor Pimenov,Male,Vaynakh Television,"March 11, 1996",Russia,Crossfire
Vincent Francis,Male,Worldwide Television News (WTN),"April 5, 1995",Burundi,Murder
Vincent Rodriguez,Male,DZMM Radio,"May 23, 2000",Philippines,Dangerous Assignment
Vincent Rwabukwisi,Male,Kanguka,"April 10-12, 1994",Rwanda,Murder
Virgilio Fernández,Male,El Universal,"November 27, 1992",Venezuela,Dangerous Assignment
Virgilio Maganes,Male,"DWPR Radio,Northern Watch","November 10, 2020",Philippines,Murder
Vitas Lingis,Male,Republica,"October 12, 1993",Lithuania,Murder
Vladimir Drobyshev,Male,Nature and Man,"October 3, 1993",Russia,Dangerous Assignment
Vladimir Ivanov,Male,The Glory of Sevastopol,"April 18, 1995",Ukraine,Murder
Vladimir Kirsanov,Male,Kurganskiye Vesti,"May 17, 2001",Russia,Murder
Vladimir Yatsina,Male,ITAR-TASS,"February 20, 2000",Russia,Murder
Vladimir Zhitarenko,Male,Krasnaya Zvezda,"January 1, 1995",Russia,Crossfire
Vladislav Listyev,Male,Russian Public TV (ORT),"March 1, 1995",Russia,Murder
Volker Handloik,Male,freelance reporter,"November 11, 2001",Afghanistan,Crossfire
Volker Kraemer,Male,Stern,"June 13, 1999",Yugoslavia,Crossfire
Vyacheslav Veremiy,Male,Vesti,"February 19, 2014",Ukraine,Murder
Wadallah Sarhan,Male,Akhbar al-Mosul,"November, 2004",Iraq,Murder
Wadih Sa'ad al-Hamdani,Male,Baghdad TV,"November 27, 2013",Iraq,Dangerous Assignment
Wael al-Absi,Male,Yemen TV,"May 26, 2017",Yemen,Crossfire
Wael Mikhael,Male,Al-Tareeq,"October 9, 2011",Egypt,Dangerous Assignment
Waldemar Milewicz,Male,TVP,"May 7, 2004",Iraq,Crossfire
Waleed Khaled,Male,Reuters,"August 28, 2005",Iraq,Crossfire
Walgney Assis Carvalho,Male,Freelance,"April 14, 2013",Brazil,Murder
Wali Khan Babar,Male,Geo TV,"January 13, 2011",Pakistan,Murder
Walid Jamil Amira,Male,Jobar Media Center,"March 3, 2013",Syria,Crossfire
Wasem Aledel,Male,Maarat Media Center,"October 23, 2015",Syria,Crossfire
Washiqur Rahman Babu,Male,Freelance,"March 30, 2015",Bangladesh,Murder
Wilder Alfredo Córdoba,Male,Unión Televisión,"November 28, 2022",Colombia,
Wilguens Louis-Saint,Male,"Télé Patriote,Tambou Verité","January 6, 2022",Haiti,Murder
William Biggart,Male,freelance,"September 11, 2001",USA,Dangerous Assignment
Wilson Ndayambadje,Male,National Rwanda Radio and TV,"January 28, 1998",Rwanda,Murder
Wissam Ali Ouda,Male,Al-Afaq,"May 21, 2008",Iraq,Crossfire
"Wisut ""Ae"" Tangwittayaporn",Male,Inside Phuket,"January 12, 2012",Thailand,Murder
Withayut Sangsopit,Male,Freelancer,"April 10, 2001",Thailand,Murder
Wu Xianghu,Male,Taizhou Wanbao,"February 2, 2006",China,Murder
Xu Xinghu,Male,The Guangming Daily,"May 8, 1999",Yugoslavia,Crossfire
Yahia Djamel Benzaghou,Male,"El Moudjahid, Algerian Press Service","March 19, 1994",Algeria,Murder
Yahya Abdul Hamid,Male,Radio Rasheed,"September 12, 2015",Iraq,Murder
Yahya Orhan,Male,Ozgur Gundem,"July 31, 1992",Turkey,Murder
Yameen Rasheed,Male,The Daily Panic,"April 23, 2017",Maldives,Murder
Yaniv Zohar,Male,Israel Hayom,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Yar Mohammad Tokhi,Male,TOLO News,"April 30, 2018",Afghanistan,Murder
Yaser Murtaja,Male,Ain Media,"April 7, 2018",Israel and the Occupied Palestinian Territory,Murder
Yasser Faisal al-Jumaili,Male,Freelance,"December 4, 2013",Syria,Murder
Yevhenii Sakun,Male,LIVE,"March 1, 2022",Ukraine,Crossfire
Youcef Sebti,Male,Freelancer,"December 27, 1992",Algeria,Murder
Yousef Abu Hussein,Male,Voice of Al-Aqsa Radio,"May 19, 2021",Israel and the Occupied Palestinian Territory,
Yousef el-Dous,Male,Orient News,"December 8, 2014",Syria,Crossfire
Yousef Maher Dawas,Male,,"October 14, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Youssef Adel Bakri (Youssef Abu Jad),Male,Halab News Network,"February 15, 2013",Syria,Crossfire
Youssef al-Ayzari,Male,Suhail TV,"May 21, 2015",Yemen,Crossfire
Youssef Younis,Male,Freelance,"April 24, 2013",Syria,Crossfire
Yuri Shchekochikhin,Male,Novaya Gazeta,"July 3, 2003",Russia,Murder
Yuri Soltis,Male,Interfax,"June 12, 1994",Russia,Murder
Yussef Sabri,Male,Biladi,"March 7, 2007",Iraq,Crossfire
